,Date,Close,Open,High,Low,Volume,Change
111,2014-03-06,2.35,2.35,2.36,2.35,53000.0,0.0
112,2014-03-07,2.35,2.36,2.36,2.35,29500.0,0.0
113,2014-03-10,2.35,2.3,2.35,2.3,54300.0,0.0
114,2014-03-11,2.35,2.35,2.36,2.35,72800.0,0.0
115,2014-03-12,2.35,2.35,2.35,2.35,442500.0,0.0
116,2014-03-13,2.35,2.36,2.36,2.35,535900.0,0.0
117,2014-03-17,2.35,2.35,2.35,2.34,304800.0,0.0
118,2014-03-18,2.35,2.34,2.36,2.34,106000.0,0.0
119,2014-03-19,2.35,2.35,2.36,2.35,293000.0,0.0
120,2014-03-20,2.35,2.33,2.35,2.33,26000.0,0.021739130434782705
121,2014-03-24,2.3,2.35,2.35,2.3,46500.0,-0.021276595744680993
122,2014-03-25,2.35,2.35,2.35,2.31,325400.0,0.0
123,2014-03-26,2.35,2.36,2.36,2.35,122500.0,-0.004237288135593098
124,2014-03-27,2.36,2.35,2.36,2.35,186200.0,0.004255319148936065
125,2014-03-31,2.35,2.35,2.38,2.35,92300.0,-0.004237288135593098
126,2014-04-01,2.36,2.36,2.36,2.36,18000.0,-0.024793388429752095
127,2014-04-02,2.42,2.4,2.43,2.4,299800.0,-0.04347826086956519
128,2014-04-03,2.53,2.43,2.63,2.43,871900.0,0.020161290322580516
129,2014-04-04,2.48,2.56,2.56,2.46,165500.0,0.004048582995951344
130,2014-04-07,2.47,2.47,2.48,2.43,140700.0,-0.004032258064516014
131,2014-04-08,2.48,2.46,2.48,2.46,199900.0,0.0
132,2014-04-09,2.48,2.48,2.52,2.48,136300.0,0.0
133,2014-04-10,2.48,2.48,2.48,2.48,19000.0,0.0
134,2014-04-11,2.48,2.46,2.49,2.46,49200.0,0.0
135,2014-04-14,2.48,2.48,2.49,2.48,78500.0,-0.004016064257028162
136,2014-04-15,2.49,2.48,2.49,2.48,54100.0,-0.011904761904761862
137,2014-04-16,2.52,2.5,2.52,2.48,163100.0,-0.0039525691699603405
138,2014-04-17,2.53,2.52,2.54,2.51,160500.0,-0.003937007874015852
139,2014-04-18,2.54,2.53,2.54,2.53,49100.0,-0.037878787878787956
140,2014-04-21,2.64,2.55,2.67,2.54,837600.0,-0.007518796992481258
141,2014-04-22,2.66,2.63,2.66,2.63,224000.0,0.011406844106463865
142,2014-04-23,2.63,2.62,2.63,2.62,64500.0,0.019379844961240345
143,2014-04-24,2.58,2.62,2.62,2.58,64000.0,0.02788844621513964
144,2014-04-25,2.51,2.55,2.55,2.51,78600.0,-0.034615384615384714
145,2014-04-28,2.6,2.52,2.6,2.52,348700.0,0.031746031746031855
146,2014-04-29,2.52,2.56,2.56,2.52,155200.0,-0.007874015748031482
147,2014-04-30,2.54,2.52,2.6,2.52,21600.0,0.0
148,2014-05-02,2.54,2.54,2.54,2.53,28200.0,0.01195219123505975
149,2014-05-05,2.51,2.43,2.52,2.43,34300.0,0.0
150,2014-05-06,2.51,2.5,2.52,2.5,10200.0,-0.011811023622047334
151,2014-05-07,2.54,2.51,2.54,2.51,31600.0,0.0
152,2014-05-08,2.54,2.54,2.55,2.54,5600.0,0.0
153,2014-05-09,2.54,2.54,2.54,2.52,67500.0,0.0039525691699606735
154,2014-05-12,2.53,2.54,2.54,2.53,44400.0,0.0
155,2014-05-14,2.53,2.55,2.55,2.53,112000.0,-0.015564202334630406
156,2014-05-15,2.57,2.54,2.57,2.54,320300.0,-0.007722007722007707
157,2014-05-16,2.59,2.56,2.59,2.56,39300.0,-0.007662835249042099
158,2014-05-19,2.61,2.59,2.62,2.57,79600.0,0.007722007722007707
159,2014-05-20,2.59,2.6,2.6,2.59,26400.0,0.003875968992248069
160,2014-05-21,2.58,2.6,2.6,2.56,115000.0,0.0078125
161,2014-05-22,2.56,2.59,2.59,2.56,210900.0,-0.007751937984496138
162,2014-05-23,2.58,2.58,2.6,2.56,80000.0,-0.0038610038610037423
